fips,poptot,whitenh,pwhitenh,blacknh,pblacknh,mhi,medyrblt,povstat,povbelow,ppov
42003475304,5828,5578,95.71036376,54,0.926561428,61646,1978,5750,201,3.5
42003475401,3719,3663,98.49421888,20,0.537778973,48182,1959,3656,161,4.4
42003475402,3102,3028,97.6144423,13,0.419084462,62243,1962,3094,83,2.68
42003476100,5083,4835,95.12099154,87,1.711587645,35039,1956,5061,451,8.91
42003476200,3473,3402,97.95565793,28,0.806219407,47058,1954,3473,206,5.93
42003477100,3694,3666,99.24201408,4,0.108283703,55807,1956,3694,181,4.9
42003477200,4456,4390,98.51885099,14,0.314183124,45115,1958,4384,109,2.49
42003477300,6294,5839,92.77089291,184,2.923419129,36694,1954,6135,623,10.15
42003478100,4407,4277,97.05014749,36,0.816882233,32518,1947,4401,429,9.75
42003478200,6059,5915,97.62337019,18,0.297078726,41096,1945,6046,206,3.41
42003479000,2244,2206,98.30659537,6,0.267379679,45071,1951,2170,103,4.75
42003480101,4562,4062,89.03989478,314,6.882946076,32500,1953,4428,319,7.2
42003480102,3297,3170,96.14801335,78,2.365787079,45482,1955,3289,126,3.83
42003480200,3498,3434,98.17038308,17,0.485991995,48750,1958,3498,178,5.09
42003480300,3321,3280,98.7654321,9,0.27100271,36319,1953,3306,138,4.17
42003480400,5321,5213,97.97030633,56,1.052433753,42661,1959,5313,294,5.53
42003481000,3970,3306,83.27455919,466,11.73803526,27990,1939,3964,764,19.27
42003482500,2197,1961,89.2580792,189,8.602639964,33309,1953,2197,300,13.65
42003483800,3569,1512,42.36480807,1827,51.19080975,16603,1939,3556,946,26.6
42003484300,3475,3018,86.84892086,331,9.525179856,28047,1939,3389,697,20.57
42003484500,6263,6155,98.27558678,16,0.255468625,35116,1948,6256,434,6.94
42003484600,2526,2385,94.41805226,66,2.612826603,32820,1944,2513,311,12.38
42003485000,1338,1248,93.2735426,67,5.007473842,34239,1943,1333,194,14.55
42003486700,2835,1496,52.76895944,1221,43.06878307,15389,1951,2829,1125,39.77
42003486800,2174,1171,53.86384545,947,43.56025759,25571,1939,2203,487,22.11
42003486900,2323,904,38.91519587,1318,56.73697805,20019,1945,2242,911,40.63
42003487000,2015,1981,98.31265509,10,0.496277916,30461,1943,2015,253,12.56
42003488100,2449,1999,81.62515312,398,16.25153124,35057,1950,2403,213,8.86
42003488200,3848,2861,74.35031185,906,23.54469854,34151,1950,4048,814,20.11
42003488300,2327,2289,98.36699613,18,0.773528148,42045,1960,2165,96,4.43
42003488400,4903,4607,93.96287987,231,4.711401183,32361,1949,4899,431,8.8
42003488500,3248,3129,96.3362069,59,1.816502463,37813,1957,3248,101,3.11
42003488600,5689,5173,90.92986465,374,6.57409035,38413,1959,5689,634,11.14
42003489001,4373,4233,96.79853647,52,1.189115024,45236,1957,4267,166,3.89
42003489002,4024,3899,96.89363817,58,1.441351889,57662,1956,4019,134,3.33
42003490002,5565,5130,92.18328841,314,5.642407907,44260,1968,5565,231,4.15
42003490003,3558,3477,97.72344013,27,0.758853288,52192,1965,3558,188,5.28
42003490004,5217,4990,95.64884033,117,2.2426682,56581,1978,5202,235,4.52
42003491101,5132,4896,95.40140296,72,1.402961808,60139,1978,5054,110,2.18
42003491102,2298,2246,97.73716275,27,1.174934726,40802,1956,2306,94,4.08
42003491200,2236,2164,96.77996422,28,1.252236136,40208,1961,2129,182,8.55
42003492700,2533,2229,87.99842084,248,9.790761942,27614,1939,2318,287,12.38
42003492800,3117,1336,42.86172602,1691,54.25088226,26951,1942,3124,695,22.25
42003492900,2841,2275,80.07743752,456,16.05068638,22225,1945,2841,631,22.21
42003493000,565,561,99.2920354,1,0.17699115,26339,1939,576,89,15.45
42003494000,1609,1523,94.65506526,58,3.604723431,30556,1939,1587,162,10.21
42003495000,3771,3672,97.37470167,41,1.087244763,40918,1957,3771,452,11.99
42003496101,3257,3196,98.12711084,33,1.013202333,45750,1959,3232,327,10.12
42003496102,4582,4390,95.80969009,135,2.946311654,38363,1960,4564,351,7.69
42003496200,6000,5850,97.5,64,1.066666667,46660,1956,5977,228,3.81
42003497000,1218,1194,98.02955665,8,0.65681445,37917,1953,1202,109,9.07
42003498000,2670,2607,97.64044944,39,1.460674157,35264,1953,2644,200,7.56
42003499300,1729,1686,97.5130133,10,0.578368999,33507,1946,1782,125,7.01
42003499400,3264,3194,97.85539216,18,0.551470588,27295,1941,3186,365,11.46
42003500300,4228,4148,98.10785241,29,0.6859035,31509,1948,4228,444,10.5
42003501000,1724,1642,95.24361949,44,2.552204176,24552,1946,1726,286,16.57
42003502000,351,350,99.71509972,0,0,33125,1952,338,30,8.88
42003503001,2007,1952,97.25959143,35,1.743896363,38939,1968,2025,156,7.7
42003503002,6425,6215,96.73151751,119,1.852140078,37536,1953,6287,282,4.49
